instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day
1,2011-01-01,winter,2011,January,0,no,saturday,no,1,9.84,14.395,81.0,0.0,3,13,16,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
2,2011-01-01,winter,2011,January,1,no,saturday,no,1,9.02,13.635,80.0,0.0,8,32,40,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
3,2011-01-01,winter,2011,January,2,no,saturday,no,1,9.02,13.635,80.0,0.0,5,27,32,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
4,2011-01-01,winter,2011,January,3,no,saturday,no,1,9.84,14.395,75.0,0.0,3,10,13,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
5,2011-01-01,winter,2011,January,4,no,saturday,no,1,9.84,14.395,75.0,0.0,0,1,1,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
6,2011-01-01,winter,2011,January,5,no,saturday,no,2,9.84,12.879999999999999,75.0,8.959999999999999,0,1,1,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
7,2011-01-01,winter,2011,January,6,no,saturday,no,1,9.02,13.635,80.0,0.0,2,0,2,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
8,2011-01-01,winter,2011,January,7,no,saturday,no,1,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
9,2011-01-01,winter,2011,January,8,no,saturday,no,1,9.84,14.395,75.0,0.0,1,7,8,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
10,2011-01-01,winter,2011,January,9,no,saturday,no,1,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
11,2011-01-01,winter,2011,January,10,no,saturday,no,1,15.58,19.695,76.0,25.369999999999997,12,24,36,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
12,2011-01-01,winter,2011,January,11,no,saturday,no,1,14.76,16.665,81.0,28.360000000000003,26,30,56,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
13,2011-01-01,winter,2011,January,12,no,saturday,no,1,17.22,21.21,77.0,28.360000000000003,29,55,84,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
14,2011-01-01,winter,2011,January,13,no,saturday,no,2,18.86,22.725,72.0,29.849999999999998,47,47,94,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
15,2011-01-01,winter,2011,January,14,no,saturday,no,2,18.86,22.725,72.0,28.360000000000003,35,71,106,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
16,2011-01-01,winter,2011,January,15,no,saturday,no,2,18.04,21.97,77.0,29.849999999999998,40,70,110,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
17,2011-01-01,winter,2011,January,16,no,saturday,no,2,17.22,21.21,82.0,29.849999999999998,41,52,93,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
18,2011-01-01,winter,2011,January,17,no,saturday,no,2,18.04,21.97,82.0,28.360000000000003,15,52,67,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
19,2011-01-01,winter,2011,January,18,no,saturday,no,3,17.22,21.21,88.0,25.369999999999997,9,26,35,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
20,2011-01-01,winter,2011,January,19,no,saturday,no,3,17.22,21.21,88.0,25.369999999999997,6,31,37,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
21,2011-01-01,winter,2011,January,20,no,saturday,no,2,16.400000000000002,20.455000000000002,87.0,25.369999999999997,11,25,36,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
22,2011-01-01,winter,2011,January,21,no,saturday,no,2,16.400000000000002,20.455000000000002,87.0,19.400000000000002,3,31,34,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
23,2011-01-01,winter,2011,January,22,no,saturday,no,2,16.400000000000002,20.455000000000002,94.0,22.39,11,17,28,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
24,2011-01-01,winter,2011,January,23,no,saturday,no,2,18.86,22.725,88.0,29.849999999999998,15,24,39,2,14.110847,18.18125,80.58330000000001,16.0446,331,654,985
25,2011-01-02,winter,2011,January,0,no,sunday,no,2,18.86,22.725,88.0,29.849999999999998,4,13,17,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
26,2011-01-02,winter,2011,January,1,no,sunday,no,2,18.04,21.97,94.0,25.369999999999997,1,16,17,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
27,2011-01-02,winter,2011,January,2,no,sunday,no,2,17.22,21.21,100.0,28.360000000000003,1,8,9,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
28,2011-01-02,winter,2011,January,3,no,sunday,no,2,18.86,22.725,94.0,19.400000000000002,2,4,6,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
29,2011-01-02,winter,2011,January,4,no,sunday,no,2,18.86,22.725,94.0,19.400000000000002,2,1,3,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
30,2011-01-02,winter,2011,January,6,no,sunday,no,3,17.22,21.21,77.0,29.849999999999998,0,2,2,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
31,2011-01-02,winter,2011,January,7,no,sunday,no,2,16.400000000000002,20.455000000000002,76.0,19.400000000000002,0,1,1,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
32,2011-01-02,winter,2011,January,8,no,sunday,no,3,16.400000000000002,20.455000000000002,71.0,22.39,0,8,8,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
33,2011-01-02,winter,2011,January,9,no,sunday,no,2,15.58,19.695,76.0,22.39,1,19,20,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
34,2011-01-02,winter,2011,January,10,no,sunday,no,2,14.76,17.424999999999997,81.0,22.39,7,46,53,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
35,2011-01-02,winter,2011,January,11,no,sunday,no,2,14.76,16.665,71.0,25.369999999999997,16,54,70,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
36,2011-01-02,winter,2011,January,12,no,sunday,no,2,14.76,16.665,66.0,29.849999999999998,20,73,93,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
37,2011-01-02,winter,2011,January,13,no,sunday,no,2,14.76,17.424999999999997,66.0,13.43,11,64,75,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
38,2011-01-02,winter,2011,January,14,no,sunday,no,3,14.76,17.424999999999997,76.0,19.400000000000002,4,55,59,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
39,2011-01-02,winter,2011,January,15,no,sunday,no,3,13.940000000000001,16.665,81.0,16.42,19,55,74,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
40,2011-01-02,winter,2011,January,16,no,sunday,no,3,13.940000000000001,16.665,71.0,16.42,9,67,76,2,14.902598000000001,17.686950000000003,69.6087,24.8539,131,670,801
